interation,polynomial,error,polynomial_best,error_best
0,0.3368430232767716*x**10 + 0.27219210357538715*x**9 + 0.1159717320822019*x**8 - 0.4138054277935391*x**7 - 0.22175986590580077*x**6 + 0.22484676435163797*x**5 - 0.12142737327005382*x**4 + 0.3370932222345827*x**3 + 0.405684035977932*x**2 + 0.4968946679808558*x - 0.08190341619880104,57.88462946749796,0.3368430232767716*x**10 + 0.27219210357538715*x**9 + 0.1159717320822019*x**8 - 0.4138054277935391*x**7 - 0.22175986590580077*x**6 + 0.22484676435163797*x**5 - 0.12142737327005382*x**4 + 0.3370932222345827*x**3 + 0.405684035977932*x**2 + 0.4968946679808558*x - 0.08190341619880104,57.88462946749796
1,0.3593263312049196*x**10 + 0.29473448716492107*x**9 + 0.13692011000438803*x**8 - 0.3975353132165035*x**7 - 0.21583652476199067*x**6 + 0.21002422435622953*x**5 - 0.1761636267125808*x**4 + 0.20703660441718794*x**3 + 0.13661759591315553*x**2 - 0.005147404030240506*x - 0.6316036938228831,45.61510975374217,0.3593263312049196*x**10 + 0.29473448716492107*x**9 + 0.13692011000438803*x**8 - 0.3975353132165035*x**7 - 0.21583652476199067*x**6 + 0.21002422435622953*x**5 - 0.1761636267125808*x**4 + 0.20703660441718794*x**3 + 0.13661759591315553*x**2 - 0.005147404030240506*x - 0.6316036938228831,0.9551451172857679
2,0.38813280914440523*x**10 + 0.3252985069300442*x**9 + 0.16821419768565288*x**8 - 0.36765503118796217*x**7 - 0.19156603052721635*x**6 + 0.22071784096650668*x**5 - 0.19389069575263415*x**4 + 0.13407403853100375*x**3 - 0.0346541299486912*x**2 - 0.2973469507038674*x - 0.2318128387340543,29.094418391160136,0.38813280914440523*x**10 + 0.3252985069300442*x**9 + 0.16821419768565288*x**8 - 0.36765503118796217*x**7 - 0.19156603052721635*x**6 + 0.22071784096650668*x**5 - 0.19389069575263415*x**4 + 0.13407403853100375*x**3 - 0.0346541299486912*x**2 - 0.2973469507038674*x - 0.2318128387340543,0.762816077323494
3,0.4171019704576253*x**10 + 0.35657748360758945*x**9 + 0.20106857102794906*x**8 - 0.3349087468914094*x**7 - 0.16237900981200776*x**6 + 0.23962681844215533*x**5 - 0.19792585256639286*x**4 + 0.08421429631477845*x**3 - 0.1665072159193372*x**2 - 0.5289335628055298*x + 0.014700906813127922,21.699451620809278,0.4171019704576253*x**10 + 0.35657748360758945*x**9 + 0.20106857102794906*x**8 - 0.3349087468914094*x**7 - 0.16237900981200776*x**6 + 0.23962681844215533*x**5 - 0.19792585256639286*x**4 + 0.08421429631477845*x**3 - 0.1665072159193372*x**2 - 0.5289335628055298*x + 0.014700906813127922,0.6587784395501917
4,0.4440348048903914*x**10 + 0.38593031615617884*x**9 + 0.23226573086683336*x**8 - 0.3032830846187573*x**7 - 0.13331693665929406*x**6 + 0.26021543012283516*x**5 - 0.1970000691810444*x**4 + 0.04539433949205497*x**3 - 0.2759545979914409*x**2 - 0.7205198439728757*x + 0.18848265629128538,17.53545325280264,0.4440348048903914*x**10 + 0.38593031615617884*x**9 + 0.23226573086683336*x**8 - 0.3032830846187573*x**7 - 0.13331693665929406*x**6 + 0.26021543012283516*x**5 - 0.1970000691810444*x**4 + 0.04539433949205497*x**3 - 0.2759545979914409*x**2 - 0.7205198439728757*x + 0.18848265629128538,0.5922069444510532
5,0.46829366878927525*x**10 + 0.41255445767517535*x**9 + 0.2607791768030166*x**8 - 0.2741161363724677*x**7 - 0.10616399061260254*x**6 + 0.28003895173180593*x**5 - 0.19457468247507406*x**4 + 0.012528392733497554*x**3 - 0.37066983549091015*x**2 - 0.8823557659517418*x + 0.32346893088875434,14.836221497034598,0.46829366878927525*x**10 + 0.41255445767517535*x**9 + 0.2607791768030166*x**8 - 0.2741161363724677*x**7 - 0.10616399061260254*x**6 + 0.28003895173180593*x**5 - 0.19457468247507406*x**4 + 0.012528392733497554*x**3 - 0.37066983549091015*x**2 - 0.8823557659517418*x + 0.32346893088875434,0.5447241778558135
6,0.4898426958857413*x**10 + 0.4363597133326747*x**9 + 0.28643639142518657*x**8 - 0.24770663716354785*x**7 - 0.08141606260029027*x**6 + 0.29828546539619155*x**5 - 0.191985155173276*x**4 - 0.016618058951849403*x**3 - 0.4544470316765435*x**2 - 1.0202605961800537*x + 0.43455176907066695,12.952522989602537,0.4898426958857413*x**10 + 0.4363597133326747*x**9 + 0.28643639142518657*x**8 - 0.24770663716354785*x**7 - 0.08141606260029027*x**6 + 0.29828546539619155*x**5 - 0.191985155173276*x**4 - 0.016618058951849403*x**3 - 0.4544470316765435*x**2 - 1.0202605961800537*x + 0.43455176907066695,0.508969998911577
7,0.5088627405670834*x**10 + 0.4575158846240017*x**9 + 0.30938120677656794*x**8 - 0.2239618753631557*x**7 - 0.05907474466181853*x**6 + 0.3147828323821136*x**5 - 0.1897137842102029*x**4 - 0.043103066450202655*x**3 - 0.5294248082832588*x**2 - 1.1380548068295044*x + 0.5287670890262557,11.591607753601584,0.5088627405670834*x**10 + 0.4575158846240017*x**9 + 0.30938120677656794*x**8 - 0.2239618753631557*x**7 - 0.05907474466181853*x**6 + 0.3147828323821136*x**5 - 0.1897137842102029*x**4 - 0.043103066450202655*x**3 - 0.5294248082832588*x**2 - 1.1380548068295044*x + 0.5287670890262557,0.48148951709464216
8,0.5255986621159371*x**10 + 0.47627297069558666*x**9 + 0.3298595775550247*x**8 - 0.20265660161566038*x**7 - 0.03896567241857421*x**6 + 0.32959898288893646*x**5 - 0.18790439691918737*x**4 - 0.06748942353679299*x**3 - 0.5969976550566393*x**2 - 1.2385703210534216*x + 0.6098452215855836,10.594293126501158,0.5255986621159371*x**10 + 0.47627297069558666*x**9 + 0.3298595775550247*x**8 - 0.20265660161566038*x**7 - 0.03896567241857421*x**6 + 0.32959898288893646*x**5 - 0.18790439691918737*x**4 - 0.06748942353679299*x**3 - 0.5969976550566393*x**2 - 1.2385703210534216*x + 0.6098452215855836,0.46031061526975803
9,0.5403003497831826*x**10 + 0.4928913833109265*x**9 + 0.3481359568417846*x**8 - 0.1835347564576249*x**7 - 0.020864547751373287*x**6 + 0.3428822931124754*x**5 - 0.1865700228847776*x**4 - 0.09012295603694617*x**3 - 0.6581941584948806*x**2 - 1.3240816692539814*x + 0.6800697144056019,9.860547423939979,0.5403003497831826*x**10 + 0.4928913833109265*x**9 + 0.3481359568417846*x**8 - 0.1835347564576249*x**7 - 0.020864547751373287*x**6 + 0.3428822931124754*x**5 - 0.1865700228847776*x**4 - 0.09012295603694617*x**3 - 0.6581941584948806*x**2 - 1.3240816692539814*x + 0.6800697144056019,0.44408439341953865
