interation,polynomial,error,polynomial_best,error_best
0,0.21654184728829762*x**10 - 0.44375109056743944*x**9 - 0.4478662869571006*x**8 + 0.38790047804510663*x**7 + 0.1641304645482533*x**6 + 0.39840481441985764*x**5 + 0.38417581127418066*x**4 + 0.26339424247206134*x**3 - 0.26556816444650955*x**2 + 0.2151694161928931*x + 0.21473978058012366,48.30058072330947,0.21654184728829762*x**10 - 0.44375109056743944*x**9 - 0.4478662869571006*x**8 + 0.38790047804510663*x**7 + 0.1641304645482533*x**6 + 0.39840481441985764*x**5 + 0.38417581127418066*x**4 + 0.26339424247206134*x**3 - 0.26556816444650955*x**2 + 0.2151694161928931*x + 0.21473978058012366,48.30058072330947
1,0.25508095112229817*x**10 - 0.40364194222450034*x**9 - 0.40757867264978076*x**8 + 0.4256830382209276*x**7 + 0.19440292663380934*x**6 + 0.4119547081823959*x**5 + 0.36413189362889314*x**4 + 0.17917509352390626*x**3 - 0.46680954137498737*x**2 - 0.17575655089514725*x - 0.3165008997537099,33.97304413334375,0.25508095112229817*x**10 - 0.40364194222450034*x**9 - 0.40757867264978076*x**8 + 0.4256830382209276*x**7 + 0.19440292663380934*x**6 + 0.4119547081823959*x**5 + 0.36413189362889314*x**4 + 0.17917509352390626*x**3 - 0.46680954137498737*x**2 - 0.17575655089514725*x - 0.3165008997537099,0.8242941724086583
2,0.29314395559674666*x**10 - 0.3634998069509796*x**9 - 0.36644461945967666*x**8 + 0.46561632491534144*x**7 + 0.22895128304296708*x**6 + 0.4333497729332694*x**5 + 0.35823725321339417*x**4 + 0.12122400221774444*x**3 - 0.6145497635042637*x**2 - 0.4281460281272125*x - 0.05465551769416393,25.357076026914978,0.29314395559674666*x**10 - 0.3634998069509796*x**9 - 0.36644461945967666*x**8 + 0.46561632491534144*x**7 + 0.22895128304296708*x**6 + 0.4333497729332694*x**5 + 0.35823725321339417*x**4 + 0.12122400221774444*x**3 - 0.6145497635042637*x**2 - 0.4281460281272125*x - 0.05465551769416393,0.7121386947345998
3,0.32871148889805285*x**10 - 0.3257730022044538*x**9 - 0.3274821418925704*x**8 + 0.5039017969213611*x**7 + 0.2628616470244866*x**6 + 0.4559818045641699*x**5 + 0.3570481540795313*x**4 + 0.07449332092985395*x**3 - 0.7387237047428181*x**2 - 0.6373359657472673*x + 0.1338513205864363,20.35355049007642,0.32871148889805285*x**10 - 0.3257730022044538*x**9 - 0.3274821418925704*x**8 + 0.5039017969213611*x**7 + 0.2628616470244866*x**6 + 0.4559818045641699*x**5 + 0.3570481540795313*x**4 + 0.07449332092985395*x**3 - 0.7387237047428181*x**2 - 0.6373359657472673*x + 0.1338513205864363,0.63802116720492
4,0.3612043452547629*x**10 - 0.29120066917948145*x**9 - 0.2916495593949898*x**8 + 0.5392734168816695*x**7 + 0.29442340143375556*x**6 + 0.4774756925564364*x**5 + 0.35715663082434174*x**4 + 0.03390582057539051*x**3 - 0.8471127502590503*x**2 - 0.8139971116826341*x + 0.28191093575282916,17.059863945430816,0.3612043452547629*x**10 - 0.29120066917948145*x**9 - 0.2916495593949898*x**8 + 0.5392734168816695*x**7 + 0.29442340143375556*x**6 + 0.4774756925564364*x**5 + 0.35715663082434174*x**4 + 0.03390582057539051*x**3 - 0.8471127502590503*x**2 - 0.8139971116826341*x + 0.28191093575282916,0.5841209454459036
5,0.3906111655001928*x**10 - 0.2598473831357971*x**9 - 0.25909329215878457*x**8 + 0.5714576776876245*x**7 + 0.3231622773402675*x**6 + 0.49703199934545916*x**5 + 0.3572191218220872*x**4 - 0.002826285808429937*x**3 - 0.9436645427226545*x**2 - 0.9643139951785187*x + 0.40446564401200796,14.74165798551605,0.3906111655001928*x**10 - 0.2598473831357971*x**9 - 0.25909329215878457*x**8 + 0.5714576776876245*x**7 + 0.3231622773402675*x**6 + 0.49703199934545916*x**5 + 0.3572191218220872*x**4 - 0.002826285808429937*x**3 - 0.9436645427226545*x**2 - 0.9643139951785187*x + 0.40446564401200796,0.5429854139019952
6,0.4171319056298214*x**10 - 0.23152324123309986*x**9 - 0.22964883259750954*x**8 + 0.6005675641080492*x**7 + 0.3490944770165939*x**6 + 0.5144895759432225*x**5 + 0.35674840915658584*x**4 - 0.036801623992287334*x**3 - 1.0306377533502018*x**2 - 1.092388160265943*x + 0.5087901264630023,13.056709546240619,0.4171319056298214*x**10 - 0.23152324123309986*x**9 - 0.22964883259750954*x**8 + 0.6005675641080492*x**7 + 0.3490944770165939*x**6 + 0.5144895759432225*x**5 + 0.35674840915658584*x**4 - 0.036801623992287334*x**3 - 1.0306377533502018*x**2 - 1.092388160265943*x + 0.5087901264630023,0.511012906808441
7,0.4410313343091173*x**10 - 0.20595685373433598*x**9 - 0.20304754993969915*x**8 + 0.6268516731903665*x**7 + 0.37241690147409384*x**6 + 0.5299347685112376*x**5 + 0.3556076905773655*x**4 - 0.06860356559185679*x**3 - 1.1095117472885747*x**2 - 1.201270387590026*x + 0.5988229807434966,11.815374873041065,0.4410313343091173*x**10 - 0.20595685373433598*x**9 - 0.20304754993969915*x**8 + 0.6268516731903665*x**7 + 0.37241690147409384*x**6 + 0.5299347685112376*x**5 + 0.3556076905773655*x**4 - 0.06860356559185679*x**3 - 1.1095117472885747*x**2 - 1.201270387590026*x + 0.5988229807434966,0.4861146957877547
8,0.462580327904249*x**10 - 0.182864999487525*x**9 - 0.17900041597694452*x**8 + 0.6505920136248299*x**7 + 0.3933800593699733*x**6 + 0.5435397608132307*x**5 + 0.3537992582318402*x**4 - 0.09858500450851908*x**3 - 1.18137667517888*x**2 - 1.2934146458390734*x + 0.676998784160216,10.897296700580585,0.462580327904249*x**10 - 0.182864999487525*x**9 - 0.17900041597694452*x**8 + 0.6505920136248299*x**7 + 0.3933800593699733*x**6 + 0.5435397608132307*x**5 + 0.3537992582318402*x**4 - 0.09858500450851908*x**3 - 1.18137667517888*x**2 - 1.2934146458390734*x + 0.676998784160216,0.4668467992945991
9,0.48203369492834325*x**10 - 0.16197924901658323*x**9 - 0.15723042500629542*x**8 + 0.6720638543700576*x**7 + 0.4122373186599004*x**6 + 0.5554968254188057*x**5 + 0.3513767259081146*x**4 - 0.12698956085640942*x**3 - 1.2471044909945928*x**2 - 1.3708868769687264*x + 0.7450292925447076,10.219024771698477,0.48203369492834325*x**10 - 0.16197924901658323*x**9 - 0.15723042500629542*x**8 + 0.6720638543700576*x**7 + 0.4122373186599004*x**6 + 0.5554968254188057*x**5 + 0.3513767259081146*x**4 - 0.12698956085640942*x**3 - 1.2471044909945928*x**2 - 1.3708868769687264*x + 0.7450292925447076,0.45208461092362956
10,0.49962304636667043*x**10 - 0.14305482933163824*x**9 - 0.13748379523749377*x**8 + 0.6915212989761768*x**7 + 0.42922590153978957*x**6 + 0.5659925891027486*x**5 + 0.34840901090072784*x**4 - 0.1540039249421383*x**3 - 1.3074271554539014*x**2 - 1.4354687312962897*x + 0.804242079646658,9.719759014689439,0.49962304636667043*x**10 - 0.14305482933163824*x**9 - 0.13748379523749377*x**8 + 0.6915212989761768*x**7 + 0.42922590153978957*x**6 + 0.5659925891027486*x**5 + 0.34840901090072784*x**4 - 0.1540039249421383*x**3 - 1.3074271554539014*x**2 - 1.4354687312962897*x + 0.804242079646658,0.44090268800925764
